,B*,B0,B_1(5721)0,B_2*(5747)0,B_J*(5732),B_cpm,B_s*,B_s0,B_s1(5830)0,B_s2*(5840)0,Bpm,D(2550)0,D(2600),D(2750),D*(2007)0,D*(2010)pm,D*(2640)pm,D_0*(2400)0,D_0*(2400)pm,D_1(2420)0,D_1(2420)pm,D_1(2430)0,D_2*(2460),D_2*(2460)pm,D_s*pm,D_s0*(2317)pm,D_s1(2460)pm,D_s1(2536)pm,D_s1*(2700)+,D_s2*(2573),D_spm,Dpm,H0,J/psi(1S),K(1630),K*(1410),K*(1680),K*(892)0,K*(892)_hadronpm,K*(892)_taupm,K0,K_0*(1430),K_0*(1950),K_0*(800),K_1(1400),K_1(1650),K_2(1770),K_2(1820),K_2(2250),K_2*(1430)0,K_2*(1430)pm,K_2*(1980),K_3(2320),K_3*(1780),K_4(2500),K_4*(2045),K_5*(2380),Kpm,Lambda,Lambda(1520),Lambda(1710),Lambda(2050),Lambda_b(5912)0,Lambda_b(5920)0,Lambda_c(2595)+,Lambda_c(2595)+-Lambda_c+,Lambda_c(2625)+,Lambda_c(2625)+-Lambda_c+,Lambda_c(2765)+,Lambda_c(2765)+-Lambda_c+,Lambda_c(2880)+,Lambda_c(2880)+-Lambda_c+,Lambda_c(2940)+,Lambda_c+,N(2040),N(2300),N(2570),Omega(2250)-,Omega(2470)-,Omega-,Omega_b-,Omega_c(2770)0,Omega_c(2770)0-Omega_c0,Omega_c0,Sigma(1385)+,Sigma(1385)-,Sigma(1385)0,Sigma(1730),Sigma(1900),Sigma+,Sigma-,Sigma0,Sigma_b*+,Sigma_b*-,Sigma_b+,Sigma_b-,Sigma_c(2455)+,Sigma_c(2455)++,Sigma_c(2455)0,Sigma_c(2520)+,Sigma_c(2520)++,Sigma_c(2520)0,Sigma_c(2800)+,Sigma_c(2800)++,Sigma_c(2800)0,Upsilon(10860),Upsilon(11020),Upsilon(1D),Upsilon(1S),Upsilon(2S),Upsilon(3S),Upsilon(4S),W,X,X(10610)0,X(10610)pm,X(10650)pm,X(1835),X(1840),X(3823),X(3900)0,X(3900)pm,X(3940),X(4020)pm,X(4050)pm,X(4160),X(4250)pm,X(4260),X(4350),X(4360),X(4430)pm,X(4660),Xi(1530)-,Xi(1530)0,Xi(1820),Xi(1950),Xi(2030),Xi-,Xi0,Xi_b(5945)0,Xi_b-,Xi_b0,Xi_c'+,Xi_c'+-Xi_c+,Xi_c'0,Xi_c'0-Xi_c0,Xi_c(2645)+,Xi_c(2645)0,Xi_c(2790)+,Xi_c(2790)0,Xi_c(2815)+,Xi_c(2815)0,Xi_c(2930),Xi_c(2980)+,Xi_c(2980)0,Xi_c(3055)+,Xi_c(3080)+,Xi_c(3080)0,Xi_c(3123)+,Xi_c+,Xi_c0,Xi_c0-Xi_c+,a_0(1450),a_1(1260),a_1(1640),a_2(1700),a_4(2040),a_6(2450),b_1(1235),chi_b(3P),chi_b0(1P),chi_b0(2P),chi_b1(1P),chi_b1(2P),chi_b2(1P),chi_b2(2P),chi_c0(1P),chi_c0(2P),chi_c1(1P),chi_c2(1P),chi_c2(2P),e,eta,eta'(958),eta(1295),eta(1760),eta(2225),eta_2(1645),eta_2(1870),eta_b(1S),eta_b(2S),eta_c(1S),eta_c(2S),f_0(1500),f_0(1710),f_0(2020),f_0(2100),f_0(2200),f_0(980),f_1(1285),f_1(1420),f_1(1510),f_2(1270),f_2(1565),f_2(1640),f_2(1810),f_2(1950),f_2(2010),f_2(2150),f_2(2300),f_2(2340),f_4(2050),f_6(2510),f_J(2220),h_1(1170),h_1(1380),h_1(1595),h_b(1P),h_b(2P),h_c(1P),mu,n,omega(1650),omega(782),omega_3(1670),overlineOmega+,overlineXi+,overlinen,phi(1020),phi(2170),phi_3(1850),pi,pi(1800),pi(1880),pi0,pi_1(1400),pi_1(1600),pi_2(1670),pi_2(2100),pipm,psi(2S),psi(3770),psi(4040),psi(4160),psi(4415),rho(1570),rho(770)0,tau
latex,{{\mathit B}^{*}},{{\mathit B}^{0}},{{\mathit B}_{\mathrm 1}{(5721)}^{0}},{{\mathit B}_{\mathrm 2}^{*}{(5747)}^{0}},{{\mathit B}_{J}^{*}{(5732)}},{{\mathit B}_{c}^{\pm}},{{\mathit B}_{s}^{*}},{{\mathit B}_{s}^{0}},{{\mathit B}_{s\mathrm 1}{(5830)}^{0}},{{\mathit B}_{s\mathrm 2}^{*}{(5840)}^{0}},{{\mathit B}^{\pm}},{{\mathit D}{(2550)}^{0}},{{\mathit D}{(2600)}},{{\mathit D}{(2750)}},{{\mathit D}^{*}{(2007)}^{0}},{{\mathit D}^{*}{(2010)}^{\pm}},{{\mathit D}^{*}{(2640)}^{\pm}},{{\mathit D}_{\mathrm 0}^{*}{(2400)}^{0}},{{\mathit D}_{\mathrm 0}^{*}{(2400)}^{\pm}},{{\mathit D}_{\mathrm 1}{(2420)}^{0}},{{\mathit D}_{\mathrm 1}{(2420)}^{\pm}},{{\mathit D}_{\mathrm 1}{(2430)}^{0}},{{\mathit D}_{\mathrm 2}^{*}{(2460)}},{{\mathit D}_{\mathrm 2}^{*}{(2460)}^{\pm}},{{\mathit D}_{s}^{*\pm}},{{\mathit D}_{s\mathrm 0}^{*}{(2317)}^{\pm}},{{\mathit D}_{s\mathrm 1}{(2460)}^{\pm}},{{\mathit D}_{s\mathrm 1}{(2536)}^{\pm}},{{\mathit D}_{s\mathrm 1}^{*}{(2700)}^{+}},{{\mathit D}_{s\mathrm 2}^{*}{(2573)}},{{\mathit D}_{s}^{\pm}},{{\mathit D}^{\pm}},{{\mathit H}^{0}},{{\mathit J / \psi}{(1S)}},{{\mathit K}{(1630)}},{{\mathit K}^{*}{(1410)}},{{\mathit K}^{*}{(1680)}},{{\mathit K}^{*}{(892)}^{0}},{{\mathit K}^{*}{(892)}_{hadron}^{\pm}},{{\mathit K}^{*}{(892)}_{tau}^{\pm}},{{\mathit K}^{0}},{{\mathit K}_{\mathrm 0}^{*}{(1430)}},{{\mathit K}_{\mathrm 0}^{*}{(1950)}},{{\mathit K}_{\mathrm 0}^{*}{(800)}},{{\mathit K}_{\mathrm 1}{(1400)}},{{\mathit K}_{\mathrm 1}{(1650)}},{{\mathit K}_{\mathrm 2}{(1770)}},{{\mathit K}_{\mathrm 2}{(1820)}},{{\mathit K}_{\mathrm 2}{(2250)}},{{\mathit K}_{\mathrm 2}^{*}{(1430)}^{0}},{{\mathit K}_{\mathrm 2}^{*}{(1430)}^{\pm}},{{\mathit K}_{\mathrm 2}^{*}{(1980)}},{{\mathit K}_{\mathrm 3}{(2320)}},{{\mathit K}_{\mathrm 3}^{*}{(1780)}},{{\mathit K}_{\mathrm 4}{(2500)}},{{\mathit K}_{\mathrm 4}^{*}{(2045)}},{{\mathit K}_{\mathrm 5}^{*}{(2380)}},{{\mathit K}^{\pm}},{{\mathit \Lambda}},{{\mathit \Lambda}{(1520)}},{{\mathit \Lambda}{(1710)}},{{\mathit \Lambda}{(2050)}},{{\mathit \Lambda}_{b}{(5912)}^{0}},{{\mathit \Lambda}_{b}{(5920)}^{0}},{{\mathit \Lambda}_{c}{(2595)}^{+}},{{\mathit \Lambda}_{c}{(2595)}^{+}}-{{\mathit \Lambda}_{c}^{+}},{{\mathit \Lambda}_{c}{(2625)}^{+}},{{\mathit \Lambda}_{c}{(2625)}^{+}}-{{\mathit \Lambda}_{c}^{+}},{{\mathit \Lambda}_{c}{(2765)}^{+}},{{\mathit \Lambda}_{c}{(2765)}^{+}}-{{\mathit \Lambda}_{c}^{+}},{{\mathit \Lambda}_{c}{(2880)}^{+}},{{\mathit \Lambda}_{c}{(2880)}^{+}}-{{\mathit \Lambda}_{c}^{+}},{{\mathit \Lambda}_{c}{(2940)}^{+}},{{\mathit \Lambda}_{c}^{+}},{{\mathit N}{(2040)}},{{\mathit N}{(2300)}},{{\mathit N}{(2570)}},{{\mathit \Omega}{(2250)}^{-}},{{\mathit \Omega}{(2470)}^{-}},{{\mathit \Omega}^{-}},{{\mathit \Omega}_{b}^{-}},{{\mathit \Omega}_{c}{(2770)}^{0}},{{\mathit \Omega}_{c}{(2770)}^{0}}-{{\mathit \Omega}_{c}^{0}},{{\mathit \Omega}_{c}^{0}},{{\mathit \Sigma}{(1385)}^{+}},{{\mathit \Sigma}{(1385)}^{-}},{{\mathit \Sigma}{(1385)}^{0}},{{\mathit \Sigma}{(1730)}},{{\mathit \Sigma}{(1900)}},{{\mathit \Sigma}^{+}},{{\mathit \Sigma}^{-}},{{\mathit \Sigma}^{0}},{{\mathit \Sigma}_{b}^{*+}},{{\mathit \Sigma}_{b}^{*-}},{{\mathit \Sigma}_{b}^{+}},{{\mathit \Sigma}_{b}^{-}},{{\mathit \Sigma}_{c}{(2455)}^{+}},{{\mathit \Sigma}_{c}{(2455)}^{++}},{{\mathit \Sigma}_{c}{(2455)}^{0}},{{\mathit \Sigma}_{c}{(2520)}^{+}},{{\mathit \Sigma}_{c}{(2520)}^{++}},{{\mathit \Sigma}_{c}{(2520)}^{0}},{{\mathit \Sigma}_{c}{(2800)}^{+}},{{\mathit \Sigma}_{c}{(2800)}^{++}},{{\mathit \Sigma}_{c}{(2800)}^{0}},{{\mathit \Upsilon}{(10860)}},{{\mathit \Upsilon}{(11020)}},{{\mathit \Upsilon}{(1D)}},{{\mathit \Upsilon}{(1S)}},{{\mathit \Upsilon}{(2S)}},{{\mathit \Upsilon}{(3S)}},{{\mathit \Upsilon}{(4S)}},{{\mathit W}},{{\mathit X}},{{\mathit X}{(10610)}^{0}},{{\mathit X}{(10610)}^{\pm}},{{\mathit X}{(10650)}^{\pm}},{{\mathit X}{(1835)}},{{\mathit X}{(1840)}},{{\mathit X}{(3823)}},{{\mathit X}{(3900)}^{0}},{{\mathit X}{(3900)}^{\pm}},{{\mathit X}{(3940)}},{{\mathit X}{(4020)}^{\pm}},{{\mathit X}{(4050)}^{\pm}},{{\mathit X}{(4160)}},{{\mathit X}{(4250)}^{\pm}},{{\mathit X}{(4260)}},{{\mathit X}{(4350)}},{{\mathit X}{(4360)}},{{\mathit X}{(4430)}^{\pm}},{{\mathit X}{(4660)}},{{\mathit \Xi}{(1530)}^{-}},{{\mathit \Xi}{(1530)}^{0}},{{\mathit \Xi}{(1820)}},{{\mathit \Xi}{(1950)}},{{\mathit \Xi}{(2030)}},{{\mathit \Xi}^{-}},{{\mathit \Xi}^{0}},{{\mathit \Xi}_{b}{(5945)}^{0}},{{\mathit \Xi}_{b}^{-}},{{\mathit \Xi}_{b}^{0}},{{\mathit \Xi}_{c}^{'+}},{{\mathit \Xi}_{c}^{'+}}-{{\mathit \Xi}_{c}^{+}},{{\mathit \Xi}_{c}^{'0}},{{\mathit \Xi}_{c}^{'0}}-{{\mathit \Xi}_{c}^{0}},{{\mathit \Xi}_{c}{(2645)}^{+}},{{\mathit \Xi}_{c}{(2645)}^{0}},{{\mathit \Xi}_{c}{(2790)}^{+}},{{\mathit \Xi}_{c}{(2790)}^{0}},{{\mathit \Xi}_{c}{(2815)}^{+}},{{\mathit \Xi}_{c}{(2815)}^{0}},{{\mathit \Xi}_{c}{(2930)}},{{\mathit \Xi}_{c}{(2980)}^{+}},{{\mathit \Xi}_{c}{(2980)}^{0}},{{\mathit \Xi}_{c}{(3055)}^{+}},{{\mathit \Xi}_{c}{(3080)}^{+}},{{\mathit \Xi}_{c}{(3080)}^{0}},{{\mathit \Xi}_{c}{(3123)}^{+}},{{\mathit \Xi}_{c}^{+}},{{\mathit \Xi}_{c}^{0}},{{\mathit \Xi}_{c}^{0}}-{{\mathit \Xi}_{c}^{+}},{{\mathit a}_{\mathrm 0}{(1450)}},{{\mathit a}_{\mathrm 1}{(1260)}},{{\mathit a}_{\mathrm 1}{(1640)}},{{\mathit a}_{\mathrm 2}{(1700)}},{{\mathit a}_{\mathrm 4}{(2040)}},{{\mathit a}_{\mathrm 6}{(2450)}},{{\mathit b}_{\mathrm 1}{(1235)}},{{\mathit \chi}_{b}{(3P)}},{{\mathit \chi}_{b\mathrm 0}{(1P)}},{{\mathit \chi}_{b\mathrm 0}{(2P)}},{{\mathit \chi}_{b\mathrm 1}{(1P)}},{{\mathit \chi}_{b\mathrm 1}{(2P)}},{{\mathit \chi}_{b\mathrm 2}{(1P)}},{{\mathit \chi}_{b\mathrm 2}{(2P)}},{{\mathit \chi}_{c\mathrm 0}{(1P)}},{{\mathit \chi}_{c\mathrm 0}{(2P)}},{{\mathit \chi}_{c\mathrm 1}{(1P)}},{{\mathit \chi}_{c\mathrm 2}{(1P)}},{{\mathit \chi}_{c\mathrm 2}{(2P)}},{{\mathit e}},{{\mathit \eta}},{{\mathit \eta}^{'}{(958)}},{{\mathit \eta}{(1295)}},{{\mathit \eta}{(1760)}},{{\mathit \eta}{(2225)}},{{\mathit \eta}_{\mathrm 2}{(1645)}},{{\mathit \eta}_{\mathrm 2}{(1870)}},{{\mathit \eta}_{b}{(1S)}},{{\mathit \eta}_{b}{(2S)}},{{\mathit \eta}_{c}{(1S)}},{{\mathit \eta}_{c}{(2S)}},{{\mathit f}_{\mathrm 0}{(1500)}},{{\mathit f}_{\mathrm 0}{(1710)}},{{\mathit f}_{\mathrm 0}{(2020)}},{{\mathit f}_{\mathrm 0}{(2100)}},{{\mathit f}_{\mathrm 0}{(2200)}},{{\mathit f}_{\mathrm 0}{(980)}},{{\mathit f}_{\mathrm 1}{(1285)}},{{\mathit f}_{\mathrm 1}{(1420)}},{{\mathit f}_{\mathrm 1}{(1510)}},{{\mathit f}_{\mathrm 2}{(1270)}},{{\mathit f}_{\mathrm 2}{(1565)}},{{\mathit f}_{\mathrm 2}{(1640)}},{{\mathit f}_{\mathrm 2}{(1810)}},{{\mathit f}_{\mathrm 2}{(1950)}},{{\mathit f}_{\mathrm 2}{(2010)}},{{\mathit f}_{\mathrm 2}{(2150)}},{{\mathit f}_{\mathrm 2}{(2300)}},{{\mathit f}_{\mathrm 2}{(2340)}},{{\mathit f}_{\mathrm 4}{(2050)}},{{\mathit f}_{\mathrm 6}{(2510)}},{{\mathit f}_{J}{(2220)}},{{\mathit h}_{\mathrm 1}{(1170)}},{{\mathit h}_{\mathrm 1}{(1380)}},{{\mathit h}_{\mathrm 1}{(1595)}},{{\mathit h}_{b}{(1P)}},{{\mathit h}_{b}{(2P)}},{{\mathit h}_{c}{(1P)}},{{\mathit \mu}},{{\mathit n}},{{\mathit \omega}{(1650)}},{{\mathit \omega}{(782)}},{{\mathit \omega}_{\mathrm 3}{(1670)}},{{\overline{\mathit \Omega}}^{+}},{{\overline{\mathit \Xi}}^{+}},{{\overline{\mathit n}}},{{\mathit \phi}{(1020)}},{{\mathit \phi}{(2170)}},{{\mathit \phi}_{\mathrm 3}{(1850)}},{{\mathit \pi}},{{\mathit \pi}{(1800)}},{{\mathit \pi}{(1880)}},{{\mathit \pi}^{0}},{{\mathit \pi}_{\mathrm 1}{(1400)}},{{\mathit \pi}_{\mathrm 1}{(1600)}},{{\mathit \pi}_{\mathrm 2}{(1670)}},{{\mathit \pi}_{\mathrm 2}{(2100)}},{{\mathit \pi}^{\pm}},{{\mathit \psi}{(2S)}},{{\mathit \psi}{(3770)}},{{\mathit \psi}{(4040)}},{{\mathit \psi}{(4160)}},{{\mathit \psi}{(4415)}},{{\mathit \rho}{(1570)}},{{\mathit \rho}{(770)}^{0}},{{\mathit \tau}}
life,0,1.5189999999999999e-12,0,0,0,4.52e-13,0,1.568e-12,0,0,1.6379999999999999e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-13,1.04e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.238e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-13,0,0,0,0,0,8.21e-11,0,0,0,6.900000000000001e-14,0,0,0,0,0,8.018e-11,1.4790000000000003e-10,7.4e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.639e-10,2.9e-10,0,1.56e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42e-13,1.1200000000000002e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1969811e-06,880.3,0,0,0,8.21e-11,1.7e-10,0,0,0,0,0,0,0,8.52e-17,0,0,0,0,2.6033e-08,0,0,0,0,0,0,0,2.9030000000000004e-13
lifeerr,0,5e-15,0,0,0,3.3e-14,0,9e-15,0,0,4e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.000000000000001e-15,7e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-15,0,0,0,0,0,1.1e-12,0,0,0,1.2e-14,0,0,0,0,0,2.5999999999999995e-13,1.1e-12,7e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5e-12,9e-12,0,2.6019223662515371e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6000000000000003e-14,1.1597413504743204e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2e-12,1.1,0,0,0,1.1e-12,1.4000000000000002e-11,0,0,0,0,0,0,0,1.8e-18,0,0,0,0,5.0000000000000005e-12,0,0,0,0,0,0,0,5e-16
lifeerrlow,0,5e-15,0,0,0,3.3e-14,0,9e-15,0,0,4e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.000000000000001e-15,7e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-15,0,0,0,0,0,1.1e-12,0,0,0,1.2e-14,0,0,0,0,0,2.5999999999999995e-13,1.1e-12,7e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5e-12,9e-12,0,2.5e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6000000000000003e-14,1.0000000000000002e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2e-12,1.1,0,0,0,1.1e-12,1.4000000000000002e-11,0,0,0,0,0,0,0,1.8e-18,0,0,0,0,5.0000000000000005e-12,0,0,0,0,0,0,0,5e-16
lifeerrup,0,5e-15,0,0,0,3.3e-14,0,9e-15,0,0,4e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.000000000000001e-15,7e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-15,0,0,0,0,0,1.1e-12,0,0,0,1.2e-14,0,0,0,0,0,2.5999999999999995e-13,1.1e-12,7e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5e-12,9e-12,0,2.7e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6000000000000003e-14,1.3000000000000001e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2e-12,1.1,0,0,0,1.1e-12,1.4000000000000002e-11,0,0,0,0,0,0,0,1.8e-18,0,0,0,0,5.0000000000000005e-12,0,0,0,0,0,0,0,5e-16
mass,5325.2,5279.58,5723.5,5743.0,5698.0,6275.599999999999,5415.4,5366.77,5828.7,5839.96,5279.26,2539.0,2612.0,2761.0,2006.96,2010.26,2637.0,2318.0,2403.0,2421.4,2423.2,2427.0,2462.6,2464.3,2112.1,2317.7,2459.5,2535.1,2709.0,2571.9,1968.3,1869.61,125700.0,3096.916,1629.0,1414.0,1717.0,891.66,891.66,895.5,497.614,1425.0,1945.0,682.0,1403.0,1650.0,1773.0,1816.0,2247.0,1432.4,1425.6,1973.0,2324.0,1776.0,2490.0,2045.0,2382.0,493.677,1115.683,1519.5,1713.0,2056.0,5912.1,5919.73,2592.25,305.79,2628.11,341.65,2766.6,480.1,2881.53,595.1,2939.3,341.65,2052,2300,2570,2252.0,2474.0,1672.45,6048.8,2765.9,70.7,2695.2,1382.8,1387.2,1383.7,1727.0,1900.0,1189.37,1197.449,1192.642,5832.1,5835.1,5811.3,5815.5,2452.9,2453.98,2453.74,2517.5,2517.9,2518.8,2792,2801,2806,10876.0,11019.0,10163.7,9460.3,10023.26,10355.2,10579.4,80385.0,3871.69,10609.0,10607.2,10652.2,1835.7,1842,3823.1,3904.0,3888.7,3942.0,4023.9,4051,4156,4248,4251.0,4351.0,4361.0,4485,4664.0,1535.0,1531.8,1823.0,1950.0,2025.0,1321.71,1314.86,5949.3,5794.9,5793.1,2575.6,107.8,2577.9,107.0,2645.9,2645.9,2789.1,2791.8,2816.6,2819.6,2931.0,2971.4,2968.0,3054.2,3077.0,3079.9,3122.9,2467.8,2470.88,3.1,1474.0,1230.0,1647.0,1732.0,1996,2450.0,1229.5,10534.0,9859.44,10232.5,9892.78,10255.46,9912.21,10268.65,3414.75,3918.4,3510.66,3556.2,3927.2,0.510998928,547.862,957.78,1294.0,1751.0,2226.0,1617.0,1842.0,9398.0,9999.0,2983.6,3639.4,1505.0,1722,1992.0,2103.0,2189.0,990.0,1281.9,1426.4,1518.0,1275.1,1562.0,1639.0,1815.0,1944.0,2011,2157.0,2297.0,2339.0,2018.0,2469.0,2231.1,1170.0,1386.0,1594,9899.3,10259.8,3525.38,105.6583715,939.565379,1670.0,782.65,1667.0,1672.45,1321.71,939.49,1019.461,2175.0,1854.0,1300.0,1812.0,1895.0,134.9766,1354.0,1662,1672.2,2090.0,139.57018,3686.109,3773.15,4039.0,4191.0,4421.0,1570.0,775.26,1776.82
masserr,0.40000000000000002,0.17000000000000001,2.0,5.0,8.0,1.1000000000000001,2.2549944567559361,0.23999999999999999,0.40000000000000002,0.20000000000000001,0.17000000000000001,8.0,6.0,5.0,0.10000000000000001,0.070000000000000007,6.0,29.0,40.0,0.59999999999999998,2.3999999999999999,40.0,0.59999999999999998,1.6000000000000001,0.40000000000000002,0.59999999999999998,0.59999999999999998,0.080000000000000002,4.0,0.80000000000000004,0.11,0.10000000000000001,400.0,0.010999999999999999,7.0,15.0,27.0,0.26000000000000001,0.26000000000000001,0.80000000000000004,0.024,50.0,22.0,29.0,7.0,50.0,8.0,13.0,17.0,1.3,1.5,26.0,24.0,7.0,20.0,9.0,24.0,0.016,0.0060000000000000001,1.0,13.0,22.0,0.40000000000000002,0.32000000000000001,0.28000000000000003,0.23999999999999999,0.19,0.13,2.3999999999999999,2.3999999999999999,0.34999999999999998,0.40000000000000002,1.4508618128546908,0.13,17.464249196572979,87.464278422679499,29.966648127543394,9.0,12.0,0.28999999999999998,3.2000000000000002,2.0,0.85146931829632,1.7,0.34999999999999998,0.5,1.0,27.0,21.0,0.070000000000000007,0.029999999999999999,0.024,1.8999999999999999,1.8999999999999999,1.8999999999999999,1.8,0.40000000000000002,0.16,0.16,2.2999999999999998,0.59999999999999998,0.59999999999999998,10.51189802081432,5.0990195135927845,6.0827625302982193,11.0,8.0,1.3999999999999999,0.26000000000000001,0.31,0.5,1.2,15.0,0.17000000000000001,6.0,2.0,1.5,4.1976183723630713,6.6708320320631662,1.8999999999999999,10.0,3.3999999999999999,9.0,2.3999999999999999,32.984845004941285,27.073972741361764,138.92443989449802,9.0,5.0,13.0,33.354160160315836,12.0,0.59999999999999998,0.32000000000000001,5.0,15.0,5.0,0.070000000000000007,0.20000000000000001,1.2,0.90000000000000002,2.5,3.1000000000000001,3.0,2.8999999999999999,2.8999999999999999,0.55226805085936304,0.5,3.2000000000000002,3.2999999999999998,0.90000000000000002,1.2,6.0,3.2999999999999998,2.6000000000000001,1.3,0.40000000000000002,1.3999999999999999,1.3,0.50990195135927852,0.61465437442517246,0.45276925690687081,19.0,40.0,22.0,16.0,9.5131487952202232,130.0,3.2000000000000002,9.0,0.52201532544552742,0.6403124237432849,0.40459856648287817,0.54626001134990654,0.40459856648287817,0.54626001134990654,0.31,1.8999999999999999,0.070000000000000007,0.089999999999999997,2.6000000000000001,1.0999999999999999e-08,0.017999999999999999,0.059999999999999998,4.0,15.0,16.0,5.0,8.0,3.2000000000000002,4.0,0.69999999999999996,1.3,6.0,5.5226805085936297,16.0,8.0,13.0,20.0,0.5,0.90000000000000002,5.0,1.2,13.0,6.0,12.0,12.0,70.710678118654741,12.0,28.0,60.0,11.0,29.0,3.5,20.0,19.0,44.294469180700197,1.0,1.2,0.11,3.4999999999999999e-06,2.0999999999999999e-05,30.0,0.12,4.0,0.28999999999999998,0.070000000000000007,0.050000000000000003,0.019,15.0,7.0,100.0,12.0,16.0,0.00059999999999999995,25.0,8.5146931829631995,3.0,29.0,0.00035,0.013038404810405297,0.33000000000000002,1.0,5.0,4.0,70.0,0.25,0.16
